,Name,x,y,z,vx,vy,vz,En,Lz,Lperp,alpha,delta,met,age,age_error,apo,peri,zmax,circ
12,b'IC1257',23.126039195140464,6.8190710186076045,6.609582557772689,-75.2750857990751,-238.49314608911553,-20.86118352482684,-140189.01853832387,-523.3922344117375,256.8147342037467,261.785,-7.093,,,,18.307022094726562,1.185941219329834,7.0320048332214355,-0.20279718931182705
13,b'IC4499',10.681109338930085,-14.017978816906876,-6.54600436744207,20.791776626046676,-3.6891282295937273,-69.31963586645169,-116843.24436635121,-1043.8912636147766,2445.3511574800073,225.077,-82.214,-1.62,,,27.328821182250977,6.850572109222412,24.78928565979004,-0.2563735318009754
14,b'Liller1',8.16537663388394,-0.7527367725232693,0.0034319256141330467,24.195385300069063,-371.46383565615736,17.79684903875088,-264452.72394298157,-30.973051856351812,18.44356168156907,263.35200000000003,-33.389,0.4,,,1.0726333856582642,0.12499498575925827,0.15386523306369781,-0.30623017482503156
15,b'NGC0104',1.87,-2.58,-3.18,-88.6,-80.1,38.5,-166829.51776190408,1238.9561999999999,671.1978312899184,6.0194,-72.0821,-0.76,11.75,0.25,7.578659534454346,5.625507354736328,3.4892451763153076,0.8060183866465919
16,b'NGC0288',-0.084,0.046,-8.89,-19.3,-297.3,44.0,-156793.92479035695,-439.92623999999995,683.9188994725982,13.1879,-26.5858,-1.32,11.5,0.38,12.297958374023438,1.9556119441986084,10.067228317260742,-0.23481501799018145
17,b'NGC0362',3.11,-5.07,-6.21,-100.0,-344.8,-78.1,-160096.25994724515,-61.12739999999991,327.13513367393006,15.8099,-70.8489,-1.3,10.75,0.25,12.010639190673828,0.3254537880420685,9.878469467163086,-0.034836352039514726
18,b'NGC1261',0.11713815293832797,-10.002506398508894,-12.869582137774128,64.02426171997536,-194.28908858329314,61.02976204414773,-133979.8320758162,-347.68459242125294,416.85725437764586,48.068000000000005,-55.216,-1.27,10.75,0.25,20.683391571044922,1.0550931692123413,15.232682228088379,-0.11945803621537306
19,b'NGC1851',-4.26,-8.94,-6.95,-94.5,-319.5,-88.9,-135056.4373032584,-192.14359999999976,484.1609284907241,78.528,-40.0456,-1.18,11.0,0.25,20.410242080688477,0.46755343675613403,12.817583084106445,-0.06753706414213506
20,b'NGC1904',-7.63,-8.25,-6.32,-57.6,-266.4,-2.6,-137757.68471007806,32.83220000000057,408.5094625072227,81.0463,-24.5255,-1.58,,,19.45195198059082,0.08938691020011902,11.352572441101074,0.012199005708245395
21,b'NGC2298',-4.29,-9.46,-2.98,80.5,-227.8,67.5,-140802.00189180722,-661.2004000000002,932.5364531312916,102.2464,-36.0046,-1.96,,,17.718124389648438,1.8678257465362549,10.766838073730469,-0.26067980495887255
22,b'NGC2419',-74.82698636533519,-0.3539451040538674,34.97937727211931,-8.375083648801233,-198.71177288030728,-68.57112722352696,-62642.96903580102,3779.107021503149,5237.126536851765,114.535,38.882,-2.2,12.3,0.75,91.06832122802734,16.053668975830078,71.30836486816406,
23,b'NGC2808',1.99,-9.2,-1.87,43.5,-101.0,21.7,-153554.08820091307,387.2003999999999,77.69234685404983,138.0071,-64.8645,-1.18,11.0,0.38,14.226749420166016,0.9187531471252441,0.6783601641654968,0.1944921738621271
24,b'NGC3201',0.61,-4.8,0.74,244.8,-450.6,143.5,-112285.54757731609,-2794.5923999999995,1450.619790104633,154.3987,-46.4125,-1.51,11.5,0.38,29.875322341918945,8.129304885864258,12.30239200592041,-0.6272894438956368
25,b'NGC4147',-1.3311363895951074,-4.093325731042226,18.81389806424717,-57.1956535587899,-275.5286361103997,119.7341625163998,-122618.0936023192,-109.53173341122715,349.9096967950049,182.52599999999998,18.543,-1.78,12.25,0.25,26.33176040649414,0.5698314309120178,24.996828079223633,-0.03023395284640979
26,b'NGC4372',2.94,-4.9,-1.0,-114.6,-166.6,59.7,-177959.70096864217,915.5364000000001,519.9336244887422,186.4587,-72.6562,-2.19,12.54,0.75,7.307952404022217,3.1874589920043945,2.3583223819732666,0.7378589467704666
27,b'NGC4590',4.12,-7.24,6.06,-182.5,38.2,8.6,-113404.17987213371,2393.2911999999997,2069.8372943128065,189.8651,-26.7454,-2.27,12.0,0.25,28.373592376708984,9.074090957641602,18.41914176940918,0.5503463630791592
28,b'NGC4833',3.62,-5.44,-0.92,-109.2,-307.1,-48.7,-181610.67980679197,245.7652000000001,195.00454227335322,194.8978,-70.8718,-1.89,12.5,0.5,8.219040870666504,0.7227659225463867,0.7144013047218323,0.21535800193129104
29,b'NGC5024',2.83,-1.45,17.61,44.2,-95.2,-78.9,-124070.38080754099,720.1597999999999,2588.6182566998673,198.2262,18.1661,-2.06,12.25,0.25,21.727380752563477,8.410494804382324,20.926239013671875,0.20484950383787529
30,b'NGC5053',3.04,-1.37,17.08,42.2,-104.7,28.9,-128943.45067570129,647.0053999999998,2668.714172376594,199.1124,17.7008,-2.3,12.25,0.38,17.924165725708008,9.783910751342773,17.417951583862305,0.20265797312053135
31,b'NGC5139',3.17,-3.9,1.34,87.7,-268.7,-88.3,-185132.74359862777,-508.35379999999986,444.404728314416,201.7876,-47.4515,-2.1,13.0,0.75,7.04854679107666,1.5375421047210693,2.849874258041382,-0.47664216182268027
32,b'NGC5272',1.48,1.34,10.0,54.2,-121.5,-142.2,-140579.29174915972,912.3147999999998,1430.9322530382071,205.5486,28.376,-1.5,11.75,0.25,16.053464889526367,5.010810852050781,13.513463020324707,0.356557933233927
33,b'NGC5286',7.64,-8.6,2.15,44.9,-38.1,0.5,-154611.0379475196,-366.1616,524.8886641955605,206.6136,-51.3723,-1.7,12.5,0.38,13.642142295837402,0.8783130049705505,6.176033020019531,-0.18834790277098887
34,b'NGC5466',3.35,3.03,15.34,-230.9,-284.7,222.1,-93689.31991237233,-862.2249999999999,2614.4955938558896,211.3614,28.5331,-2.31,12.5,0.25,48.101016998291016,6.383929252624512,32.66703414916992,
35,b'NGC5634',15.66,-5.02,19.09,-87.6,-259.3,-55.9,-128824.70495650296,496.37760000000003,1219.481089986458,217.4053,-5.9773,-1.93,,,22.408782958984375,2.98514461517334,19.444746017456055,0.15443278788459608
36,b'NGC5694',26.342651212149775,-14.671924289283496,17.770744631684884,-121.97337617916611,-102.80036748711431,-178.61812594874937,-86826.84120654478,-939.3641392579509,1138.7699733468194,219.90099999999998,-26.539,-2.02,13.44,0.75,57.79438400268555,2.6710290908813477,41.59942626953125,
37,b'NGC5824',26.334456609230106,-13.76460707587192,12.1425692150975,-109.41470041673824,-316.6242555671382,-189.03592373034496,-99921.14676419795,2665.912362792154,3981.6926236503955,225.99400000000003,-33.068000000000005,-1.94,12.8,0.75,35.40616989135742,15.215564727783203,29.28864288330078,
38,b'NGC5897',10.32,-3.17,6.31,-44.1,-383.0,81.1,-168266.274267543,398.7812000000001,714.8937530579002,229.3515,-21.0115,-1.9,12.3,0.75,9.212606430053711,2.3586602210998535,7.974992752075195,0.2679679224567386
39,b'NGC5904',5.12,0.345,5.47,290.4,-163.1,-188.8,-124329.64115463267,353.9287,1201.9484177693744,229.6394,2.0766,-1.33,11.5,0.25,25.093664169311523,2.345733165740967,23.443668365478516,0.10129367329615381
40,b'NGC5927',6.4,-4.22,0.65,-210.2,-123.2,-2.7,-183506.0118835012,1058.0739999999996,155.8056730481918,232.0065,-50.6694,-0.29,10.75,0.38,5.628710746765137,4.3392653465271,0.7522786855697632,0.9694626018290362
