Name,x,y,z,vx,vy,vz,En,Lz,Lperp,alpha,delta,met,age,age_error,apo,peri,zmax,circ,ecc,d_gc,labels
b'NGC5272',1.48,1.34,10.0,54.2,-121.5,-142.2,-140579.29174915972,912.3147999999998,1430.9322530382071,205.5486,28.376,-1.5,11.75,0.25,16.053464889526367,5.010810852050781,13.513463020324709,0.356557933233927,0.5242361129786838,12.122458496526189,H99
b'NGC5286',7.64,-8.6,2.15,44.9,-38.1,0.5,-154611.0379475196,-366.1616,524.8886641955605,206.6136,-51.3723,-1.7,12.5,0.38,13.642142295837402,0.8783130049705505,6.176033020019531,-0.1883479027709888,0.8790240406687965,8.882347662639646,GE
b'NGC5466',3.35,3.03,15.34,-230.9,-284.7,222.1,-93689.31991237232,-862.2249999999999,2614.4955938558896,211.3614,28.5331,-2.31,12.5,0.25,48.101016998291016,6.383929252624512,32.66703414916992,nan,0.7656626392462582,16.371285838320702,Seq_ext
b'NGC5634',15.66,-5.02,19.09,-87.6,-259.3,-55.9,-128824.70495650296,496.3776,1219.481089986458,217.4053,-5.9773,-1.93,nan,nan,22.40878295898437,2.98514461517334,19.44474601745605,0.154432787884596,0.7648930354348816,21.10166107205781,H99
b'NGC5694',26.34265121214977,-14.671924289283496,17.770744631684884,-121.97337617916612,-102.80036748711431,-178.61812594874937,-86826.84120654478,-939.3641392579508,1138.7699733468194,219.901,-26.539,-2.02,13.44,0.75,57.79438400268555,2.671029090881348,41.59942626953125,nan,0.9116510099170884,29.32951619309026,Seq_ext
b'NGC5824',26.334456609230102,-13.76460707587192,12.1425692150975,-109.41470041673824,-316.6242555671382,-189.03592373034496,-99921.14676419795,2665.912362792154,3981.692623650396,225.99400000000003,-33.068000000000005,-1.94,12.8,0.75,35.40616989135742,15.215564727783203,29.28864288330078,nan,0.39885249518770804,25.802420654051556,Sag
b'NGC5897',10.32,-3.17,6.31,-44.1,-383.0,81.1,-168266.274267543,398.7812000000001,714.8937530579002,229.3515,-21.0115,-1.9,12.3,0.75,9.212606430053713,2.358660221099853,7.974992752075195,0.2679679224567386,0.5923246275091736,7.372882746931487,GE
b'NGC5904',5.12,0.345,5.47,290.4,-163.1,-188.8,-124329.64115463269,353.9287,1201.9484177693744,229.6394,2.0766,-1.33,11.5,0.25,25.093664169311523,2.345733165740967,23.44366836547852,0.1012936732961538,0.8290244397791925,6.286996500714788,H99
b'NGC5927',6.4,-4.22,0.65,-210.2,-123.2,-2.7,-183506.0118835012,1058.0739999999996,155.8056730481918,232.0065,-50.6694,-0.29,10.75,0.38,5.628710746765137,4.3392653465271,0.7522786855697632,0.9694626018290362,0.129358797429876,4.633670251539269,disk
b'NGC5946',8.92,-5.67,0.77,-36.6,-284.8,94.6,-193856.17575602623,173.78820000000005,554.1127984516239,233.8711,-50.6617,-1.29,11.39,0.75,6.015861511230469,0.5366325378417969,3.5642178058624268,0.1999801951534121,0.8362051048584238,5.767165681684548,low_E
b'NGC5986',9.32,-3.95,2.39,-29.7,-316.8,-21.1,-202913.18974313783,154.7372000000001,229.95448596365765,236.5211,-37.7826,-1.63,12.25,0.75,4.898716926574707,0.5229325890541077,2.689134120941162,0.2137471174444203,0.8070946535563884,4.7506841612550925,low_E
b'NGC6093',9.35,-1.2,3.33,-6.3,-290.3,-68.6,-209816.49341010017,47.20900000000002,242.93512515132517,244.2564,-22.9723,-1.75,12.54,0.75,3.796063899993897,0.6234146952629089,3.686214447021485,0.0779367934019952,0.7178786221831748,3.7217469016578764,low_E
b'NGC6101',10.961586731828564,-9.981801002791627,-4.16740507525583,285.8326112547843,-160.1666323167949,-200.03565163891068,-98928.02324692185,-3196.0981334786266,2381.474167820594,246.451,-72.202,-1.98,12.25,0.5,39.89944839477539,10.74853229522705,22.495912551879883,nan,0.5755592957983916,11.163779718267982,Seq_ext
b'NGC6121',2.09,-0.332,0.61,40.4,-243.6,-15.9,-195872.82665154428,-13.187599999999913,21.579640363314667,245.8976,-26.5279,-1.18,11.5,0.38,6.318832874298096,0.2272908836603164,2.262909412384033,-0.0156136231090075,0.9305571076672698,6.14934337958127,low_E
b'NGC6139',9.545135783320644,-3.055709900632655,1.250207935164119,-81.39559545078825,-284.0527604202129,129.13786089730422,-207937.9909321736,268.3565156638417,456.4072325136834,246.918,-38.849,-1.71,nan,nan,3.8615336418151855,1.3969188928604126,2.772913694381714,0.4265265775680427,0.46869582499841256,3.565076879050633,low_E
b'NGC6144',8.48,-1.2,2.41,171.0,-158.1,34.8,-205047.7619605616,-242.63920000000007,498.9959190852766,246.8061,-26.0301,-1.82,12.75,0.5,3.624210119247437,2.0535998344421387,3.1476218700408936,-0.3587532826390615,0.2766225529941661,2.7067508197098604,bulge_apo
b'NGC6171',5.88,0.347,2.5,3.7,-179.2,-71.2,-213733.6360873341,156.0284,215.75338890367985,248.135,-13.057,-1.03,12.0,0.75,3.5489118099212646,0.8177244067192078,2.726738214492798,0.2790349613653797,0.6254671256547519,3.4282370104763755,bulge_apo
b'NGC6205',2.76,4.6,4.65,-43.4,-263.1,-86.9,-173657.75936581712,-251.17840000000007,646.6300492259851,250.4217,36.4596,-1.58,12.0,0.38,8.654099464416504,1.216124176979065,7.226741790771484,-0.1874238391743448,0.7535771789650928,8.507414413322063,GE
b'NGC6218',4.14,1.17,2.13,33.5,-128.6,-88.2,-195612.2715576754,521.6804,413.3937279290652,251.8101,-1.951,-1.33,13.0,0.5,4.916686058044434,2.2418878078460693,2.7127797603607178,0.6176500006791483,0.37364959841280176,4.731743864581006,disk
b'NGC6229',6.529429865264756,22.2978587952782,19.759100151080347,-8.244206684963288,-224.65435420120224,42.7646517607653,-115356.1789583835,96.39727102816236,741.5565810425926,251.745,47.528,-1.43,nan,nan,30.618581771850582,0.6917486786842346,29.918256759643555,0.0230706149187552,0.9558133901028554,29.83969420435903,GE
b'NGC6235',11.17,-0.211,2.69,94.4,-460.0,-55.2,-181731.34124477624,618.5467000000001,728.2556046009345,253.3557,-22.1798,-1.38,11.39,0.75,6.304014205932617,3.097366571426392,4.324399471282959,0.5420172644995861,0.34108262503617276,4.012670058701563,GE
b'NGC6254',3.91,1.06,1.73,106.2,-144.8,40.1,-194414.2016900869,550.9355999999999,423.945944663102,254.2861,-4.0981,-1.57,11.75,0.38,5.201969623565674,2.161060094833374,2.523142576217652,0.6339682947689321,0.4129970467365557,4.745587424123592,low_E
b'NGC6256',10.044224547963305,-2.193533465230417,0.6260704169704859,-138.55932944407888,-141.46068021768102,88.71571084379872,-212101.79764896253,90.03816002589241,376.13763296226057,254.886,-37.121,-0.62,nan,nan,4.081936359405518,0.303845077753067,2.42704439163208,0.1545976535425171,0.8614408482927416,2.933379861763869,low_E
b'NGC6266',6.7,-0.76,0.87,-99.2,-170.5,68.8,-235182.41591020636,177.56599999999997,127.56604841116616,255.2821,-30.0938,-1.18,nan,nan,2.115153551101685,0.8392674326896667,1.0929652452468872,0.5731406676257405,0.43185657203622285,1.8932775813387737,bulge_apo
b'NGC6273',8.67,-0.47,1.43,107.5,-32.4,167.9,-201630.1505824695,-155.30680000000012,395.01422045179584,255.6561,-26.2696,-1.76,11.9,0.75,4.629107475280762,0.9387922286987304,3.916429281234741,-0.2076645356469121,0.662784073489055,1.5769273921141709,low_E
b'NGC6284',15.07,-0.44,2.64,2.6,-256.7,102.1,-179829.80649674285,79.57219999999987,715.2284499699449,256.1187,-24.7662,-1.31,11.14,0.75,7.658220767974853,0.5227062702178955,7.1386590003967285,0.0668107739987644,0.8722134379691603,7.372930218034076,GE
b'NGC6287',9.23,0.021,1.8,-307.1,-197.5,69.0,-189115.9705910491,-54.35820000000006,616.8831847293396,256.2882,-22.7183,-2.12,13.57,0.75,6.300235271453857,0.3422947525978088,5.760860443115234,-0.0561921491722678,0.8969384402152771,2.07396745393943,low_E
b'NGC6293',9.4,-0.391,1.29,-130.9,-130.5,-161.8,-218111.5729882721,-89.6462000000001,91.66703155334804,257.5413,-26.5799,-2.01,nan,nan,3.427980661392212,0.3802763819694519,2.371468067169189,-0.1829335462347876,0.8002884901730423,1.8047107801528761,bulge_apo
